title,description
Information Systems Manager,"Excision of Abdominal Sympathetic Nerve, Perc Endo Approach"
Programmer III,"Drainage of Soft Palate, Percutaneous Approach, Diagnostic"
Dental Hygienist,"CT Scan of Hepatobil Sys, All using L Osm Contrast"
Biostatistician III,"Bypass Splenic Art to R Renal A w Nonaut Sub, Perc Endo"
Staff Scientist,"Dilate R Ext Iliac Art, Bifurc, w 3 Drug-elut, Open"
Software Test Engineer I,Tinnitus Masker Assessment using Hear Aid Equipment
Research Nurse,CT Scan of R Forearm using L Osm Contrast
Help Desk Operator,"Insert Infusion Pump in R Low Leg Subcu/Fascia, Open"
Account Representative I,"Supplement R Femoral Region w Autol Sub, Perc Endo"
Sales Associate,"Supplement L Tympanic Membrane with Synth Sub, Open Approach"
Assistant Professor,"Occlusion of Pancreatic Duct, Via Opening"
Speech Pathologist,"Extirpation of Matter from Left Ulnar Artery, Open Approach"
Sales Representative,"Drainage of Left Vas Deferens, Open Approach, Diagnostic"
Project Manager,"Extirpate matter from 1 Cor Art, Orbit Athrect, New Tech 1"
Geologist I,"Fusion of Left Ankle Joint with Ext Fix, Perc Approach"
Senior Cost Accountant,"Restrict R Pulm Vein w Extralum Dev, Perc Endo"
Systems Administrator II,"Revision of Monitoring Device in Lower Vein, Perc Approach"
Executive Secretary,Fluoroscopy of Cervical Facet Joint(s) using Other Contrast
Environmental Tech,"Introduction of Local Anesthetic into Bones, Perc Approach"
Teacher,"Drainage of Right Knee Tendon, Percutaneous Approach"
GIS Technical Architect,"Removal of Drain Dev from R Sternoclav Jt, Perc Approach"
Programmer IV,"Dilation of R Brach Art with 3 Intralum Dev, Open Approach"
Web Designer I,"Dilate Splenic Art w 4+ Intralum Dev, Perc Endo"
Compensation Analyst,"Insert of Radioact Elem into Pelvic Cav, Perc Endo Approach"
Information Systems Manager,"Removal of Infusion Device from Lumsac Disc, Perc Approach"
Community Outreach Specialist,"Extirpation of Matter from Right Vocal Cord, Open Approach"
Analog Circuit Design manager,"CT Scan of R Eye using L Osm Contrast, Unenh, Enhance"
Chief Design Engineer,"Repair Right Upper Leg Skin, External Approach"
Accountant I,"Release Right Ovary, Open Approach"
Accounting Assistant IV,"Fragmentation in Carina, Percutaneous Approach"
Environmental Specialist,"Insertion of Int Fix into L Temporal Bone, Open Approach"
Technical Writer,"Bypass R Com Iliac Art to L Ext Ilia, Open Approach"
Civil Engineer,"Excision of Thoracic Sympathetic Nerve, Perc Endo Approach"
Chemical Engineer,"Destruction of Facial Muscle, Open Approach"
Research Nurse,"Supplement Stomach with Synthetic Substitute, Via Opening"
Engineer II,"Drainage of Left Adrenal Gland, Percutaneous Approach, Diagn"
Staff Scientist,"Drainage of Left Tarsal Joint with Drain Dev, Perc Approach"
Electrical Engineer,"Reposition R Femur Shaft w Ring Ext Fix, Perc Endo"
Mechanical Systems Engineer,Monaural Hearing Aid Assessment using Tympanometer
Professor,"Extirpation of Matter from R Vocal Cord, Perc Endo Approach"
Data Coordiator,"Release Glomus Jugulare, Percutaneous Endoscopic Approach"
Senior Editor,"Restrict Intracran Art w Extralum Dev, Perc Endo"
Engineer II,"Bypass Intracran Vein to Up Vein w Autol Sub, Perc Endo"
Product Engineer,Fluoroscopy of Bilateral Acromioclavicular Joints
Budget/Accounting Analyst IV,"Remove Drain Dev from Tracheobronc Tree, Perc Endo"
Health Coach IV,"Dilation of Face Art with Intralum Dev, Perc Endo Approach"
Nuclear Power Engineer,"Extirpation of Matter from Left Rib, Percutaneous Approach"
Computer Systems Analyst IV,"Fluoroscopy of Bilateral Lower Extremity Veins, Guidance"
Compensation Analyst,"Replacement of Right Mandible with Nonaut Sub, Perc Approach"
Social Worker,"Dilation of L Ext Carotid with 2 Drug-elut, Perc Approach"
Registered Nurse,"Release Right External Auditory Canal, Endo"
Analog Circuit Design manager,"Bypass R Hepatic Duct to Stomach w Intralum Dev, Perc Endo"
Civil Engineer,"Repair Right Palatine Bone, Open Approach"
VP Sales,"Lymphatic and Hemic Systems, Extraction"
Product Engineer,"Transfer R Low Leg Muscle with Skin, Perc Endo Approach"
Technical Writer,"Destruction of Coccyx, Percutaneous Endoscopic Approach"
Operator,"Dilation of Right Pulmonary Vein, Percutaneous Approach"
Assistant Professor,"Control Bleeding in Abdominal Wall, Percutaneous Approach"
Professor,"Occlusion of LAA with Intralum Dev, Open Approach"
Chief Design Engineer,"Dilation of Lower Artery with 4 Drug-elut, Perc Approach"
Associate Professor,"Bypass L Com Iliac Art to L Com Ilia, Perc Endo Approach"
Account Coordinator,"Revise of Autol Sub in Sacrococcygeal Jt, Perc Endo Approach"
Recruiting Manager,"Removal of Drainage Device from Head, Percutaneous Approach"
Marketing Manager,Aphasia Treatment using Audiovisual Equipment
Nuclear Power Engineer,"Transfer Acoustic Nerve to Facial Nerve, Open Approach"
Programmer Analyst I,"Dilation of R Subclav Art with 4 Drug-elut, Perc Approach"
Research Nurse,"Remove Autol Sub from Up Extrem Subcu/Fascia, Open"
VP Sales,"Bypass Inf Vena Cava to Sup Mesent V w Synth Sub, Perc Endo"
Physical Therapy Assistant,"Resection of Head Lymphatic, Perc Endo Approach"
Nurse Practicioner,"Dilation of Left Main Bronchus, Endo"
Data Coordiator,"Extirpation of Matter from L Int Iliac Art, Perc Approach"
Administrative Officer,"Revision of Drainage Device in Upper Intestinal Tract, Endo"
Actuary,"Drainage of L Low Extrem Lymph with Drain Dev, Open Approach"
Senior Financial Analyst,"Drainage of Optic Nerve, Open Approach"
Nuclear Power Engineer,"Transfer Left Hand Muscle, Percutaneous Endoscopic Approach"
Dental Hygienist,"Excision of Right Clavicle, Open Approach"
Geological Engineer,"Excision of Left Lower Leg, Open Approach, Diagnostic"
Analyst Programmer,"Release Right Pelvic Bone, Open Approach"
Product Engineer,"Release Transverse Colon, Percutaneous Endoscopic Approach"
Chemical Engineer,"Release Scrotum, Open Approach"
Account Coordinator,"Dilate R Popl Art, Bifurc, w 4+ Intralum Dev, Perc"
Nurse Practicioner,"Occlusion of Right Hepatic Duct with Intralum Dev, Endo"
Clinical Specialist,"Destruction of Right Internal Iliac Artery, Open Approach"
Web Designer IV,"Drainage of L Brach Art with Drain Dev, Perc Endo Approach"
Web Developer IV,"Drainage of Left Pelvic Bone, Percutaneous Approach"
Financial Advisor,"Bypass Thor Aorta Desc to Pulm Trunk w Nonaut Sub, Perc Endo"
Executive Secretary,"Drain of R Axilla Lymph with Drain Dev, Perc Endo Approach"
Financial Advisor,Planar Nuclear Medicine Imaging of KUB using Iodine 123
Assistant Media Planner,"Revision of Drain Dev in T-lum Disc, Perc Endo Approach"
Marketing Assistant,"Extirpation of Matter from Left Foot Artery, Open Approach"
Operator,"Extirpate of Matter from R Up Arm Tendon, Perc Endo Approach"
Associate Professor,"Drainage of Right Tympanic Membrane with Drain Dev, Endo"
Legal Assistant,Planar Nucl Med Imag Liver & Spleen w Oth Radionuclide
Product Engineer,"Supplement L Seminal Vesicle with Autol Sub, Open Approach"
Human Resources Manager,"Drainage of L Axilla Lymph with Drain Dev, Open Approach"
Data Coordiator,"Bypass L Innom Vein to Up Vein w Autol Vn, Perc Endo"
Environmental Specialist,"Insertion of Intramed Fix into L Humeral Head, Perc Approach"
Health Coach II,"Removal of Synth Sub from Kidney, Perc Endo Approach"
Account Executive,"Fusion of L Sacroiliac Jt with Synth Sub, Perc Endo Approach"
Technical Writer,"Drain of Bi Carotid Body with Drain Dev, Perc Endo Approach"
Speech Pathologist,"Excision of Right Vocal Cord, Open Approach"
Database Administrator I,Voice Treatment using Computer
Human Resources Assistant III,"Excision of Right Conjunctiva, External Approach, Diagnostic"
Media Manager I,"Extraction of Left Frontal Sinus, Percutaneous Approach"
Nurse Practicioner,"Pharmacotherapy for Substance Abuse Treatment, Psych Med"
Programmer II,"Bypass R Brach Vein to Up Vein w Autol Sub, Perc Endo"
Statistician III,"Dilation of L Eustach Tube with Intralum Dev, Via Opening"
Software Test Engineer II,"Drainage of Left Hand Vein with Drain Dev, Open Approach"
Software Engineer IV,Plain Radiography of Abdomen and Pelvis
VP Product Management,"Remove Infusion Dev from R Acromioclav Jt, Extern"
Statistician IV,"Excision of Right Toe Phalangeal Joint, Perc Approach"
Compensation Analyst,"Excision of Right Eustachian Tube, Endo, Diagn"
Chief Design Engineer,"Bypass 1 Cor Art from Cor V w Intralum Dev, Perc Endo"
Administrative Officer,"Excision of Head and Neck Tendon, Percutaneous Approach"
Product Engineer,"Supplement Nasal Septum with Synth Sub, Perc Endo Approach"
Registered Nurse,"Drain of Nasal Turbinate with Drain Dev, Perc Endo Approach"
Environmental Specialist,"Bypass R Radial Art to R Low Arm Art w Autol Art, Open"
Associate Professor,"Supplement Left Tibia with Synth Sub, Perc Endo Approach"
Help Desk Operator,"Restriction of Descending Colon, Open Approach"
Social Worker,"Reposition R Fibula with Monopln Ext Fix, Perc Endo Approach"
Geological Engineer,"Repair Right Little Finger, Percutaneous Endoscopic Approach"
VP Marketing,"Destruction of Lower Vein, Percutaneous Endoscopic Approach"
Internal Auditor,"Upper Bones, Extirpation"
Junior Executive,"Removal of Drainage Device from Upper Bone, Extern Approach"
Financial Analyst,"Revision of Other Device in L Low Extrem, Open Approach"
VP Quality Control,CT Scan of Pelvic Region using Oth Contrast
Recruiting Manager,"Release Left Mastoid Sinus, Percutaneous Approach"
Assistant Manager,"Release Left Shoulder Muscle, Open Approach"
Nurse Practicioner,"Replacement of Upper Lip with Autol Sub, Extern Approach"
Internal Auditor,"Revision of Synth Sub in Uterus & Cervix, Via Opening"
Research Assistant II,"Supplement Carina with Nonaut Sub, Perc Endo Approach"
Sales Representative,"Release Middle Esophagus, Percutaneous Approach"
Staff Scientist,"Extirpate of Matter from Conduction Mechanism, Perc Approach"
Project Manager,"Supplement R Int Jugular Vein w Synth Sub, Perc Endo"
Environmental Tech,Compression of R Inguinal Region using Intermit Pressure Dev
Professor,"Repair R Low Leg Subcu/Fascia, Perc Approach"
Physical Therapy Assistant,"Resection of Sigmoid Colon, Via Opening"
Sales Representative,"Dilation of L Popl Art, Bifurc, Perc Endo Approach"
VP Accounting,"Dilation of Cystic Duct, Endo"
Web Designer III,"Release Gallbladder, Percutaneous Approach"
Nurse Practicioner,"Repair Stomach, Pylorus, Via Natural or Artificial Opening"
Database Administrator IV,"Replace of L Hip Jt with Synth Sub, Cement, Open Approach"
Technical Writer,"Repair Cervical Vertebral Disc, External Approach"
Professor,"Dilate L Fem Art, Bifurc, w Drug-elut Intra, Open"
Statistician IV,"Removal of Int Fix from R Tarsal, Extern Approach"
Physical Therapy Assistant,"Reattachment of Left Upper Leg Muscle, Open Approach"
Accountant IV,"Revision of Infusion Dev in Tracheobronc Tree, Perc Approach"
Nurse Practicioner,"Supplement Azygos Vein with Autol Sub, Perc Endo Approach"
Speech Pathologist,"Repair Left Ulnar Artery, Percutaneous Endoscopic Approach"
Biostatistician I,"Division of Left Lower Femur, Perc Endo Approach"
Tax Accountant,"Transfer Optic Nerve to Acoustic Nerve, Perc Endo Approach"
Geological Engineer,"Occlusion R Ext Jugular Vein w Extralum Dev, Perc Endo"
Internal Auditor,"Removal of Infusion Device from Bladder, External Approach"
Cost Accountant,"Reposition Left Upper Eyelid, Percutaneous Approach"
Financial Advisor,"Repair Bilateral Inguinal Region, Percutaneous Approach"
Project Manager,"Revise of Nonaut Sub in L Thumb Phalanx, Perc Endo Approach"
Paralegal,"Supplement Ileocecal Valve with Nonaut Sub, Endo"
Geological Engineer,"Extirpation of Matter from Left Tarsal Joint, Perc Approach"
Sales Associate,Stereotactic Gamma Beam Radiosurgery of Mediastinum
Programmer Analyst I,"Removal of Synth Sub from Fem Perineum, Perc Endo Approach"
Database Administrator I,"Introduce Platelet Inhibitor in Central Vein, Open"
Physical Therapy Assistant,"Drainage of Left Renal Vein, Perc Endo Approach"
Registered Nurse,"Extirpate matter from R Toe Phalanx Jt, Perc Endo"
Analog Circuit Design manager,Contact Radiation of Esophagus
Database Administrator II,"Extirpate matter from L Up Extrem Bursa/Lig, Perc Endo"
Staff Scientist,"Transfer Right Trunk Muscle with Skin, Perc Endo Approach"
Electrical Engineer,"Drainage of Right Occipital Bone, Open Approach"
Editor,"Replace R Low Arm Subcu/Fascia w Nonaut Sub, Open"
Dental Hygienist,"Insert Tissue Expander in L Up Leg Subcu/Fascia, Open"
Geologist III,CT Scan of R Knee using H Osm Contrast
Senior Quality Engineer,"Release Right Ulnar Artery, Open Approach"
Electrical Engineer,"Extirpate of Matter from L Submaxillary Gland, Perc Approach"
Senior Editor,"Restriction of L Renal Art with Extralum Dev, Perc Approach"
Research Assistant II,"Removal of Autol Sub from L Metatarsophal Jt, Perc Approach"
Health Coach III,"Repair Right Patella, External Approach"
Senior Developer,"Drainage of Left Carpal, Perc Endo Approach, Diagn"
Safety Technician IV,"Restriction of Right Internal Jugular Vein, Perc Approach"
Occupational Therapist,"Alteration of Left Upper Arm, Percutaneous Approach"
Office Assistant III,"Restriction of Right Vertebral Artery, Open Approach"
Actuary,"Drainage of Right Toe Phalangeal Joint, Perc Approach"
Web Designer I,"Bypass Left Ureter to Cutan with Nonaut Sub, Open Approach"
Office Assistant II,"Revision of Autol Sub in L Metatarsophal Jt, Extern Approach"
Assistant Media Planner,"Repair Right Breast, Via Natural or Artificial Opening"
Senior Financial Analyst,"Drainage of Right Ureter, Percutaneous Approach"
Actuary,"Dilation of R Thyroid Art with Intralum Dev, Perc Approach"
Speech Pathologist,"Revision of Extraluminal Device in Kidney, Endo"
Registered Nurse,"Bypass R Com Iliac Vein to Low Vein w Autol Art, Open"
Analyst Programmer,"Replace Back Skin w Synth Sub, Part Thick, Extern"
Desktop Support Technician,"Bypass 4+ Cor Art from Abd Art w Autol Art, Perc Endo"
Statistician IV,"Revision of Nonaut Sub in R Breast, Via Opening"
Tax Accountant,"Extirpation of Matter from Femoral Nerve, Perc Approach"
Analog Circuit Design manager,"Release Left Lacrimal Bone, Percutaneous Approach"
Data Coordiator,"Resection of Uterus, Percutaneous Endoscopic Approach"
Human Resources Assistant III,Beam Radiation of Ileum using Photons 1 - 10 MeV
Civil Engineer,"Restriction of Middle Colic Artery, Percutaneous Approach"
Statistician I,"Bypass R Axilla Art to Bi Low Leg Art w Nonaut Sub, Open"
Accounting Assistant II,"Repair Right Heart, Percutaneous Approach"
Director of Sales,"Replacement of R Ankle Jt with Autol Sub, Open Approach"
Engineer IV,"Dilation of L Ext Iliac Art, Bifurc, Perc Endo Approach"
Geologist I,"Bypass L Hepatic Duct to Caud Duct w Intralum Dev, Perc Endo"
Programmer Analyst III,"Excision of Right Upper Arm, Perc Endo Approach, Diagn"
Web Developer II,"Excision of Nasopharynx, Perc Endo Approach, Diagn"
Nuclear Power Engineer,"Release Left Tympanic Membrane, Perc Endo Approach"
Staff Accountant III,"Excision of Right Upper Arm Tendon, Perc Approach, Diagn"
Senior Editor,"Excision of Left Vocal Cord, Via Opening, Diagn"
Speech Pathologist,"Replacement of L Frontal Bone with Nonaut Sub, Open Approach"
Office Assistant II,"Removal of Nonaut Sub from L Metatarsophal Jt, Perc Approach"
Financial Analyst,"Supplement L Subclav Vein with Nonaut Sub, Perc Approach"
Librarian,"Inspection of Mediastinum, Open Approach"
Engineer III,"Revision of Drainage Device in Pelvic Cavity, Perc Approach"
Environmental Tech,"Release Right Shoulder Tendon, Open Approach"
Dental Hygienist,"Removal of Monitor Dev from Up Vein, Perc Endo Approach"
Paralegal,"Release Left Choroid, Percutaneous Approach"
Recruiting Manager,"Replace of Nasal Bone with Nonaut Sub, Perc Endo Approach"
Professor,"Transplantation of Left Ovary, Allogeneic, Open Approach"
Account Coordinator,"Supplement R Inguinal Region w Nonaut Sub, Perc Endo"
Occupational Therapist,"Extirpation of Matter from R Low Leg Muscle, Perc Approach"
Engineer I,Osteopathic Treatment of Abdomen using Indirect Forces
Senior Cost Accountant,"Bypass Left Kidney Pelvis to Bladder, Open Approach"
Editor,Beam Radiation of Axillary Lymphatics using Electrons
Marketing Manager,ROM & Jt Mobility Treatment of Neuro Low Back/LE
Senior Cost Accountant,"Alteration of R Low Eyelid with Autol Sub, Perc Approach"
Accountant III,"Creation of Vagina in Male Perineum, Open Approach"
Administrative Assistant I,"Dilate Hepatic Art, Bifurc, w Intralum Dev, Perc Endo"
Registered Nurse,"Transfer Right Shoulder Muscle with Subcu, Open Approach"
Tax Accountant,ROM & Jt Mobility Trmt Integu Low Back/LE w Oth Equip
Actuary,"Extraction of Face Subcu/Fascia, Open Approach"
Director of Sales,"Excision of Anus, External Approach"
Pharmacist,"Excision of Right Patella, Percutaneous Endoscopic Approach"
Programmer Analyst I,"Dilate L Post Tib Art, Bifurc, w 4+ Intralum Dev, Perc"
Associate Professor,"Removal of Autol Sub from Abd Wall, Open Approach"
Electrical Engineer,"Destruction of Right Wrist Bursa and Ligament, Perc Approach"
Assistant Media Planner,"Dilation of R Ext Iliac Art with 3 Drug-elut, Open Approach"
Professor,"Removal of Autol Sub from L Sternoclav Jt, Perc Approach"
VP Product Management,"Revision of Infusion Device in R Elbow Jt, Perc Approach"
Research Nurse,"Monitoring of Venous Flow, Portal, Open Approach"
Internal Auditor,"Extirpation of Matter from R Metatarsophal Jt, Open Approach"
Internal Auditor,"Replace of Papillary Muscle with Autol Sub, Open Approach"
Desktop Support Technician,"Transfer Right Lower Leg Tendon, Perc Endo Approach"
VP Quality Control,"ROM/Jt Integrity Assessment of Musculosk Head, Neck"
Software Test Engineer I,"Drainage of Thoracic Spinal Cord, Open Approach, Diagnostic"
Food Chemist,"Insert Infusion Dev in L Ext Jugular Vein, Perc"
Associate Professor,"Removal of Intraluminal Device from Right Eye, Via Opening"
Software Test Engineer I,"Removal of Synthetic Substitute from Ureter, Perc Approach"
Physical Therapy Assistant,"Removal of Drainage Device from Lum Jt, Open Approach"
VP Accounting,"Control Bleeding in Right Buttock, Open Approach"
VP Sales,"Insertion of Monitoring Device into L Atrium, Perc Approach"
Assistant Manager,"Replacement of Thor Vertebra with Autol Sub, Perc Approach"
Social Worker,"Inspection of R Metacarpophal Jt, Perc Endo Approach"
Research Nurse,"Excision of Hepatic Artery, Percutaneous Endoscopic Approach"
Sales Associate,"Supplement R Axilla Lymph w Nonaut Sub, Perc Endo"
Legal Assistant,"Insert Limb Length Dev in R Humeral Shaft, Perc Endo"
Professor,"Bypass Ascending Colon to Rectum, Endo"
Legal Assistant,"Revision of Autol Sub in R Elbow Jt, Extern Approach"
Clinical Specialist,"Dilation of R Peroneal Art with 2 Drug-elut, Open Approach"
Pharmacist,"Destruction of Back Subcu/Fascia, Open Approach"
Financial Analyst,"Insertion of Oth Dev into L Shoulder, Perc Endo Approach"
Nurse,"Alteration of Head, Percutaneous Approach"
Assistant Manager,"Reposition L Humeral Shaft w Monopln Ext Fix, Perc Endo"
VP Sales,Beam Radiation of Liver using Photons >10 MeV
Nuclear Power Engineer,"Excision of Left External Carotid Artery, Open Approach"
Payment Adjustment Coordinator,"Fusion L Acromioclav Jt w Nonaut Sub, Perc Endo"
Help Desk Technician,"Insert Singl Array Rchg Stim Gen in Abd Subcu/Fascia, Perc"
Data Coordiator,"Supplement Left Finger Phalanx with Autol Sub, Open Approach"
Nurse,"Bypass Left Vas Deferens to R Vas Def, Perc Endo Approach"
Research Associate,"Dilation of L Ext Iliac Art, Bifurc, Perc Approach"
Paralegal,Caregiver Train in Applic/Use/Care Prosthesis w Assist Equip
Statistician I,"Extirpation of Matter from L Pulm Vein, Perc Endo Approach"
Senior Editor,"Removal of Int Fix from Coccyx, Perc Approach"
Senior Developer,"Fragmentation in Left Vitreous, External Approach"
Accounting Assistant IV,"Drainage of Left Elbow Joint, Perc Endo Approach"
Compensation Analyst,"Bypass Right Common Iliac Artery to B Renal A, Open Approach"
Human Resources Manager,"Insertion of Ring Ext Fix into R Femur Shaft, Perc Approach"
VP Marketing,"Reposition Right Palatine Bone, Percutaneous Approach"
Help Desk Operator,"Removal of Nonaut Sub from R Metatarsotars Jt, Perc Approach"
Automation Specialist IV,"Revision of Nonaut Sub in Larynx, Perc Approach"
Health Coach IV,"Restriction of Cystic Duct with Extralum Dev, Open Approach"
Desktop Support Technician,"Bypass Sup Mesent Vein to Low Vein w Autol Art, Open"
Desktop Support Technician,"Resection of Left Patella, Open Approach"
Executive Secretary,Osteopathic Treatment of Pelvis w H Velocity L Ampl
Human Resources Manager,"Removal of Drainage Device from R Carpal Jt, Perc Approach"
Legal Assistant,"Release Facial Nerve, Open Approach"
Physical Therapy Assistant,"Insertion of Intralum Dev into L Ventricle, Open Approach"
Junior Executive,"Fusion 2-6 C Jt w Synth Sub, Post Appr A Col, Perc Endo"
Environmental Specialist,"Removal of Int Fix from R Toe Phalanx, Perc Endo Approach"
Software Test Engineer IV,Fluoroscopy of Left Kidney using Other Contrast
Social Worker,"Bypass Low Esophag to Ileum w Nonaut Sub, Perc Endo"
Account Coordinator,"Removal of Int Fix from Lum Jt, Extern Approach"
Senior Cost Accountant,"Supplement L Sperm Cord with Nonaut Sub, Perc Endo Approach"
Automation Specialist III,"Destruction of Uterine Support Struct, Perc Endo Approach"
Mechanical Systems Engineer,"Drainage of Lumbar Vertebra, Percutaneous Approach, Diagn"
Quality Engineer,"Introduce Human B-type Peptide in Periph Vein, Open"
Dental Hygienist,"Revise of Drain Dev in Low Intest Tract, Perc Endo Approach"
Automation Specialist IV,"Bypass Jejunum to Transverse Colon, Open Approach"
Analog Circuit Design manager,"Drainage of R Ext Jugular Vein with Drain Dev, Perc Approach"
Sales Representative,"Occlusion of L Post Tib Art, Perc Endo Approach"
Cost Accountant,HDR Brachytherapy of Jejunum using Cesium 137
Senior Developer,"Destruction of Thymus, Open Approach"
Occupational Therapist,"Release Right Acromioclavicular Joint, Perc Endo Approach"
Quality Engineer,"Destruction of L Abd Bursa/Lig, Open Approach"
Systems Administrator II,"Removal of Int Fix from L Toe Phalanx Jt, Open Approach"
Marketing Assistant,"Destruction of Left Toe Phalangeal Joint, Perc Endo Approach"
Structural Analysis Engineer,"Dilation of Ileocecal Valve with Intralum Dev, Open Approach"
Pharmacist,"Alteration of Right Breast with Autol Sub, Perc Approach"
Health Coach III,"Replacement of L Popl Art with Synth Sub, Open Approach"
Project Manager,"Fluoroscopy R Pulm Art w H Osm Contrast, Laser Intraop"
Physical Therapy Assistant,"Revision of Nonaut Sub in R Metatarsophal Jt, Perc Approach"
Biostatistician III,"Reattachment of Left Hip Muscle, Open Approach"
Safety Technician III,"Reposition Colic Vein, Open Approach"
Business Systems Development Analyst,"Revision of Ext Fix in L Metatarsotars Jt, Perc Approach"
Developer II,"Excision of Right Subclavian Vein, Percutaneous Approach"
Quality Engineer,"Drainage of Left Femoral Vein, Percutaneous Approach, Diagn"
Structural Engineer,"Revision of Infusion Device in Liver, Perc Endo Approach"
Quality Engineer,"Measurement of Gastrointestinal Motility, Via Opening"
Senior Developer,"Drainage of Nasopharynx, Open Approach, Diagnostic"
Database Administrator III,"Excision of Right Upper Femur, Perc Endo Approach"
Civil Engineer,"Dilate Sup Mesent Art, Bifurc, w 4+ Intralum Dev, Open"
GIS Technical Architect,"Excision of Right Knee Joint, Open Approach, Diagnostic"
Office Assistant I,"Insertion of Intralum Dev into R Ulnar Art, Open Approach"
Product Engineer,"Bypass Esophagus to Cutaneous with Synth Sub, Perc Approach"
Software Engineer II,"Dilate of 2 Cor Art with 2 Intralum Dev, Perc Endo Approach"
Assistant Manager,"Release Thoracic Aorta, Descending, Open Approach"
Programmer Analyst IV,"Supplement Larynx with Nonautologous Tissue Substitute, Endo"
Staff Scientist,"Bypass R Com Iliac Art to B Renal A w Nonaut Sub, Perc Endo"
Tax Accountant,"Removal of Reservoir from Trunk Subcu/Fascia, Perc Approach"
Director of Sales,"Repair Head Muscle, Open Approach"
Chemical Engineer,"Drainage of Bilateral Ureters, Via Opening, Diagn"
Web Designer III,"Destruction of Left Large Intestine, Perc Endo Approach"
Accounting Assistant III,"Repair Right Upper Leg Skin, External Approach"
Technical Writer,"Drainage of Right Upper Leg Skin, External Approach, Diagn"
Systems Administrator II,"Supplement Intracran Vein with Autol Sub, Perc Endo Approach"
Assistant Media Planner,"Bypass Hepatic Vein to Lower Vein, Open Approach"
Paralegal,"Removal of Nonaut Sub from Thoracic Duct, Open Approach"
Environmental Tech,Removal of Bandage on Right Lower Extremity
Data Coordiator,Beam Radiation of Brain Stem using Photons >10 MeV
Product Engineer,"Supplement Head with Autol Sub, Perc Endo Approach"
Engineer I,"Excision of Left Ankle Joint, Percutaneous Approach, Diagn"
Civil Engineer,CT Scan of Mult Cor A Graft using Intravasc Optic Cohere
Analog Circuit Design manager,"Introduction of Other Anti-infective into POC, Endo"
Accountant II,"Drainage of Right Ulna, Perc Endo Approach, Diagn"
Financial Advisor,"Supplement Tongue with Synthetic Substitute, Extern Approach"
Structural Analysis Engineer,"Insert Intralum Dev in R Int Iliac Art, Perc Endo"
Media Manager II,"Replace of L Retinal Vessel with Synth Sub, Perc Approach"
Data Coordiator,"Removal of Nonaut Sub from R Up Extrem, Open Approach"
Statistician III,"Revision of Autol Sub in Tracheobronc Tree, Endo"
Environmental Specialist,"Drainage of Left Vitreous, Percutaneous Approach"
Junior Executive,"Dilation of Celiac Artery with 4 Drug-elut, Open Approach"
Senior Sales Associate,Fluoroscopy of R Int Carotid using L Osm Contrast
Senior Editor,"Insertion of Infusion Device into Vas Deferens, Endo"
Clinical Specialist,"Drainage of L Shoulder Jt with Drain Dev, Perc Endo Approach"
Sales Associate,"Bypass Splenic Art to L Renal A w Autol Art, Open"
Programmer II,Coord/Dexterity Trmt Integu Low Back/LE w Prosthesis
Financial Advisor,"Introduction of Oth Hormone into Central Vein, Perc Approach"
Librarian,"Drainage of Left Metatarsal, Percutaneous Approach, Diagn"
Health Coach I,"Excision of Left Temporal Artery, Open Approach"
Chemical Engineer,"Dilate 4+ Cor Art, Bifurc, w 4 Drug-elut, Perc Endo"
Social Worker,"Destruction of Right Innominate Vein, Open Approach"
Desktop Support Technician,"Dilation of Pharynx, Via Natural or Artificial Opening"
Quality Engineer,"Occlusion L Lg Intest w Extralum Dev, Perc Endo"
Senior Cost Accountant,"Reposition Right Knee Joint, External Approach"
Account Coordinator,"Excision of Pudendal Nerve, Open Approach"
Operator,Beam Radiation of Left Breast using Photons >10 MeV
Software Consultant,"Ultrasonography of Right Heart, Transesophageal"
VP Sales,Beam Radiation of Diaphragm using Photons >10 MeV
Operator,"Inspection of Ureter, Endo"
Food Chemist,"Repair Left Shoulder Region, Percutaneous Approach"
Marketing Manager,"Revision of Nonaut Sub in Tracheobronc Tree, Via Opening"
Project Manager,"Drainage of R Up Arm Tendon with Drain Dev, Open Approach"
Environmental Specialist,"Dilation of R Foot Art with Intralum Dev, Perc Approach"
Structural Analysis Engineer,"Replace Face Skin w Autol Sub, Part Thick, Extern"
Geologist II,"Bypass Jejunum to Transverse Colon with Autol Sub, Endo"
Financial Analyst,"Extirpation of Matter from Olfact Nrv, Perc Endo Approach"
Accountant II,"Restriction of Left Kidney Pelvis, Percutaneous Approach"
Accounting Assistant II,"Removal of Synth Sub from R Sternoclav Jt, Perc Approach"
Account Executive,Plain Radiography of Right Shoulder using H Osm Contrast
VP Quality Control,"Insert Tissue Expander in Back Subcu/Fascia, Perc"
Computer Systems Analyst I,"Dilate of R Ant Tib Art with 4+ Intralum Dev, Open Approach"
Teacher,"Release Tongue, Palate, Pharynx Muscle, Perc Approach"
Marketing Manager,"Excision of Right Frontal Sinus, Perc Endo Approach, Diagn"
VP Quality Control,"Dilate L Com Carotid, Bifurc, w 4 Drug-elut, Open"
Sales Representative,Fluoroscopy of Bi Verteb Art using Oth Contrast
Web Designer II,"Revision of Radioact Elem in Low Jaw, Perc Endo Approach"
